# Phase, Radial Velocity (km/s)
1.031,107.417
1.032,108.270
1.033,109.122
1.033,109.972
1.034,110.822
1.035,111.670
1.036,112.517
1.036,113.363
1.037,114.207
1.038,115.051
1.039,115.893
1.039,116.734
1.040,117.574
1.041,118.412
1.042,119.249
1.042,120.085
1.043,120.919
1.044,121.752
1.045,122.584
1.045,123.414
1.046,124.243
1.047,125.070
1.048,125.896
1.048,126.720
1.049,127.543
1.050,128.364
1.051,129.184
1.051,130.002
1.052,130.819
1.053,131.634
1.054,132.447
1.054,133.259
1.055,134.069
1.056,134.878
1.057,135.685
1.057,136.490
1.058,137.293
1.059,138.095
1.060,138.895
1.060,139.693
1.061,140.489
1.062,141.284
1.063,142.076
1.063,142.867
1.064,143.656
1.065,144.443
1.066,145.228
1.066,146.012
1.067,146.793
1.068,147.573
1.069,148.350
1.069,149.126
1.070,149.899
1.071,150.671
1.072,151.440
1.072,152.207
1.073,152.973
1.074,153.736
1.075,154.497
1.075,155.256
1.076,156.013
1.077,156.768
1.078,157.521
1.078,158.271
1.079,159.019
1.080,159.765
1.081,160.509
1.081,161.251
1.082,161.990
1.083,162.727
1.084,163.462
1.084,164.194
1.085,164.924
1.086,165.652
1.087,166.377
1.087,167.100
1.088,167.821
1.089,168.539
1.090,169.254
1.090,169.968
1.091,170.679
1.092,171.387
1.093,172.093
1.093,172.796
1.094,173.497
1.095,174.195
1.096,174.891
1.096,175.584
1.097,176.275
1.098,176.963
1.099,177.649
1.099,178.331
1.100,179.012
1.101,179.689
1.102,180.364
1.102,181.036
1.103,181.706
1.104,182.372
1.105,183.036
1.105,183.698
1.106,184.356
1.107,185.012
1.108,185.665
1.108,186.315
1.109,186.962
1.110,187.607
1.111,188.248
1.111,188.887
1.112,189.523
1.113,190.156
1.114,190.786
1.114,191.414
1.115,192.038
1.116,192.659
1.117,193.278
1.117,193.893
1.118,194.505
1.119,195.115
1.120,195.721
1.120,196.325
1.121,196.925
1.122,197.522
1.123,198.117
1.123,198.708
1.124,199.296
1.125,199.881
1.126,200.463
1.126,201.042
1.127,201.617
1.128,202.190
1.129,202.759
1.129,203.325
1.130,203.888
1.131,204.448
1.132,205.004
1.132,205.558
1.133,206.108
1.134,206.654
1.135,207.198
1.135,207.738
1.136,208.275
1.137,208.809
1.138,209.339
1.138,209.866
1.139,210.390
1.140,210.910
1.141,211.427
1.141,211.941
1.142,212.451
1.143,212.958
1.144,213.461
1.144,213.961
1.145,214.458
1.146,214.951
1.147,215.441
1.147,215.927
1.148,216.410
1.149,216.889
1.150,217.365
1.150,217.837
1.151,218.306
1.152,218.772
1.153,219.233
1.153,219.692
1.154,220.146
1.155,220.597
1.156,221.045
1.156,221.489
1.157,221.929
1.158,222.366
1.159,222.799
1.159,223.229
1.160,223.655
1.161,224.077
1.162,224.496
1.162,224.910
1.163,225.322
1.164,225.729
1.165,226.133
1.165,226.534
1.166,226.930
1.167,227.323
1.168,227.712
1.168,228.097
1.169,228.479
1.170,228.857
1.171,229.231
1.171,229.602
1.172,229.968
1.173,230.331
1.174,230.690
1.174,231.045
1.175,231.397
1.176,231.745
1.177,232.088
1.177,232.428
1.178,232.765
1.179,233.097
1.180,233.425
1.180,233.750
1.181,234.071
1.182,234.388
1.183,234.701
1.183,235.010
1.184,235.315
1.185,235.617
1.186,235.914
1.186,236.208
1.187,236.497
1.188,236.783
1.189,237.065
1.189,237.343
1.190,237.617
1.191,237.887
1.192,238.153
1.192,238.415
1.193,238.673
1.194,238.927
1.195,239.177
1.195,239.423
1.196,239.665
1.197,239.904
1.198,240.138
1.198,240.368
1.199,240.594
1.200,240.816
1.201,241.035
1.201,241.249
1.202,241.459
1.203,241.665
1.204,241.867
1.204,242.065
1.205,242.259
1.206,242.449
1.207,242.635
1.207,242.817
1.208,242.994
1.209,243.168
1.210,243.338
1.210,243.503
1.211,243.665
1.212,243.822
1.213,243.976
1.213,244.125
1.214,244.270
1.215,244.411
1.216,244.548
1.216,244.681
1.217,244.809
1.218,244.934
1.219,245.055
1.219,245.171
1.220,245.283
1.221,245.392
1.222,245.496
1.222,245.596
1.223,245.692
1.224,245.783
1.225,245.871
1.225,245.954
1.226,246.034
1.227,246.109
1.228,246.180
1.228,246.247
1.229,246.310
1.230,246.368
1.231,246.423
1.231,246.473
1.232,246.519
1.233,246.562
1.234,246.600
1.234,246.633
1.235,246.663
1.236,246.689
1.237,246.710
1.237,246.727
1.238,246.740
1.239,246.749
1.240,246.754
1.240,246.755
1.241,246.751
1.242,246.743
1.243,246.732
1.243,246.716
1.244,246.696
1.245,246.671
1.246,246.643
1.246,246.610
1.247,246.574
1.248,246.533
1.249,246.488
1.249,246.439
1.250,246.386
1.251,246.328
1.252,246.267
1.252,246.201
1.253,246.131
1.254,246.057
1.255,245.979
1.255,245.897
